Speaker Name,Speaker Title,Speaker Company,Company Category,Email Subject,Email Body
Manuela Oddo,"Associate Director - Digital Engineering Lead, Mace Private Sector",Mace,Builder,Join Us at Booth #42 for a Live Demo,"Hi Manuela, 

As the Associate Director - Digital Engineering Lead at Mace, we believe you would find our live demo at Booth #42 particularly relevant. We’d love to show you how DroneDeploy enhances drone mapping and reality capture in construction. Plus, we have a small gift for you. 

Looking forward to seeing you there."
Andy Fulterer,Owner & Director,Fulterer Consulting,Owner,Join Us at Booth #42 for a Live Demo,"Hi Andy,

As the Owner & Director of Fulterer Consulting, your insights into construction strategies are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest mapping solutions, and we have a small gift for you as well. Looking forward to your visit.

Best regards,
[Your Name]  
[Your Position]  
DroneDeploy"
Fiona Moore,Nima Vice Chair,nima,Other,Explore DroneDeploy at Booth #42,"Hi Fiona,

I hope this message finds you well. We would love for you to visit us at Booth #42 for an exclusive live demo of our drone mapping solutions tailored for the construction industry. As a token of appreciation, we have a small gift for you. 

Looking forward to seeing you there.

Best regards,
[Your Name]  
DroneDeploy"
Magdalena Plocica,Head of BIM,Aluprof,Other,Join Us at Booth #42 for a Live Demo,"Hi Magdalena, 

As the Head of BIM at Aluprof, your insights into digital construction are invaluable. We invite you to visit our booth #42 for a live demo of DroneDeploy's latest features and to pick up a small gift. We’d love to show you how our solutions can enhance your projects.

Looking forward to seeing you there."
Sarah Crawley,Co-Founder & Director,SymTerra,Other,Discover DroneDeploy at Booth #42,"Hi Sarah, 

As the Co-Founder and Director at SymTerra, your insights into innovative solutions are invaluable. We’d love for you to visit our booth #42 for a live demo of DroneDeploy's capabilities in drone mapping and reality capture. We have a small gift for you as a token of appreciation. 

Looking forward to seeing you there."
Sarah Driver,Production Lead – Surveying & Data Editing,Ordnance Survey,Other,Join Us for a Live Demo at Booth #42,"Hi Sarah,

As the Production Lead at Ordnance Survey, you understand the importance of accurate data capture. We’d love for you to visit our booth #42 for a live demo of DroneDeploy's latest capabilities. We also have a small gift waiting for you as a token of appreciation.

Looking forward to seeing you there!"
Anna Friel,Digital Construction Apprentice,Kier Construction,Builder,Join Us for a Live Demo at Booth #42,"Hi Anna, 

I hope this message finds you well. As a Digital Construction Apprentice at Kier Construction, you might be interested in seeing how DroneDeploy can enhance your projects. We’d love to invite you to visit our booth #42 for a live demo and a small gift. 

Looking forward to seeing you there."
Marek Suchocki,Head of Industry Associations Strategy,Autodesk,Other,Let's connect at DCW,"```json
{
  ""subject"": ""Join Us at Booth #42 for a Live Demo"",
  ""body"": ""Hi Marek, \n\nI hope this message finds you well. As the Head of Industry Associations Strategy at Autodesk, your insights into the construction sector are invaluable. We would love to invite you to visit our booth #42 for a live demo of our drone mapping solutions, and we have a small gift for you as well. \n\nLooking forward to seeing you."",
}
```"
Francesca Amato,Supply Chain Sustainability Lead,Mclaren Group,Other,Discover Sustainable Solutions at Booth #42,"Hi Francesca,

As the Supply Chain Sustainability Lead at Mclaren Group, you know the importance of efficient project management. We invite you to visit our booth #42 for a live demo of DroneDeploy's innovative solutions tailored for the construction industry. We’ll also have a small gift waiting for you.

Looking forward to seeing you there!"
Zora Rafiq,Principal Customer Success Manager,Egnyte,Other,Join Us at Booth #42 for a Live Demo,"Hi Zora, 

I hope this message finds you well. As a Principal Customer Success Manager at Egnyte, you understand the importance of precise data in construction. We’d love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities and to pick up a small gift. 

Looking forward to seeing you there."
Sarah Hayes,Independent Consultant,Data Sharing Working Group,Other,Join Us at Booth #42 for a Live Demo,"Hi Sarah, 

As an expert in data sharing, you might find our drone mapping solutions intriguing. We’d love for you to visit our booth #42 for a live demo and to receive a small gift. Looking forward to the chance to connect.

Best,  
[Your Name]  
DroneDeploy"
Anna Galika,Digital Engineering and BIM Manager,Mace,Builder,Invitation to Visit Our Booth at [Event Name],"Hi Anna,

As the Digital Engineering and BIM Manager at Mace, we believe you would appreciate our innovative drone mapping solutions. We invite you to visit us at booth #42 for a live demo and a small gift. It would be great to show you how our technology can enhance your projects.

Looking forward to seeing you there."
Maria Tsemani,Principal Consultant,Turner & Townsend,Other,Join Us at Booth #42 for a Live Demo,"Hi Maria,

I hope this message finds you well. As a Principal Consultant at Turner & Townsend, your insights into construction innovation are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest mapping solutions. We also have a small gift for you as a token of appreciation.

Looking forward to seeing you there."
Anna Mytcul,Visualisation Specialist,KPF,Other,Explore DroneDeploy at Booth #42,"Hi Anna,

As a Visualisation Specialist at KPF, your insights on project presentation are invaluable. I’d like to invite you to visit our booth #42 for a live demo of our drone mapping solutions, along with a small gift. It would be great to connect and show you how we can enhance your visualisation processes.

Best, 
[Your Name]"
Sarah Thomas,Digital Director,NHS England – the New Hospital Programme,Owner,Join Us at Booth #42 for a Live Demo,"Hi Sarah,

As the Digital Director at NHS England’s New Hospital Programme, we believe you'd find our drone mapping solutions particularly relevant. We invite you to visit us at Booth #42 for a live demo and to receive a small gift.

Looking forward to your visit,

[Your Name]  
[Your Position]  
DroneDeploy"
Mariangela Toscano,Digital Engineering & BIM Manager,Mace,Builder,Join Us at Booth #42 for a Live Demo,"Hi Mariangela,

As the Digital Engineering & BIM Manager at Mace, your insights into innovative technologies are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy's mapping solutions tailored for construction. Plus, we have a small gift for you.

Looking forward to seeing you there!"
Francesca Draper,Civils Quality Lead and Digitalisation Lead,BYLOR,Builder,Discover Innovative Drone Solutions at Booth #42,"Hi Francesca, 

As the Civils Quality and Digitalisation Lead at BYLOR, we believe you would find our drone mapping and reality capture solutions highly relevant. We’d love to invite you to visit our booth #42 for a live demo tailored to your needs, along with a small gift. 

Looking forward to connecting, 

Best, 
[Your Name]"
Maria Tsolakou,Senior Consultant – Real Estate Digital,Turner & Townsend,Owner,"Join Us at Booth #42 for a Live Demo, Maria","Hi Maria,

As a Senior Consultant in Real Estate Digital at Turner & Townsend, your insights into digital transformation are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s innovative drone mapping solutions, along with a small gift as a token of our appreciation. 

Looking forward to seeing you there."
Arushan Mahendrakumar,Digital Construction Capacity Building Lead,Connected Places Catapult,Builder,Join Us at Booth #42 for a Live Demo,"Hi Arushan, 

As the Digital Construction Capacity Building Lead at Connected Places Catapult, we believe you would find our drone mapping solutions valuable. We invite you to visit our booth #42 for a live demo and a small gift. Looking forward to seeing you there.

Best regards,
[Your Name]
DroneDeploy"
Fred Mills,Founder & MD,The B1M,Other,Invitation to Visit Our Booth at the Upcoming Event,"Hi Fred,

I hope this message finds you well. As the Founder & MD of The B1M, your insights into construction technology are invaluable. We would love for you to visit our booth #42 for a live demo of our latest drone mapping solutions and to pick up a small gift as a token of appreciation.

Looking forward to seeing you there."
Sean Cook,Managing Director,Urban & Regional,Other,Join Us for a Live Demo at Booth #42,"Hi Sean,

As the Managing Director at Urban & Regional, your insights on urban development are invaluable. We’d love to invite you to visit our booth #42 for a live demo of our drone mapping solutions tailored for construction. We’ll also have a small gift for you. 

Looking forward to seeing you there!"
Sean Hickey,Site Engineer,Finna Construction,Builder,Discover DroneDeploy at Booth #42,"Hi Sean, 

As a Site Engineer at Finna Construction, you understand the importance of accurate mapping and reality capture. We’d love for you to visit us at Booth #42 for a live demo of our latest drone technology, and we have a small gift for you as a thank you for stopping by. 

Looking forward to seeing you there."
Marie-Claude Hemming,Director of Operations,CECA,Other,Join Us at Booth #42 for a Live Demo,"Hi Marie-Claude,

As the Director of Operations at CECA, we know you value efficiency in project management. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest features. We’ll also have a small gift for you. 

Looking forward to connecting!

Best,
[Your Name]"
Gaganjit Singh,Associate,Zaha Hadid Architects,Other,Join Us for a Live Demo at Booth #42,"Hi Gaganjit, 

We're excited to invite you to visit our booth #42 at the upcoming event. As an Associate at Zaha Hadid Architects, we believe you'll find our drone mapping solutions particularly relevant to your innovative projects. Stop by for a live demo and a small gift. 

Looking forward to seeing you there!"
Francesca Lofiego,Digital Lead,Structure Tone London,Other,Join Us at Booth #42 for a Live Demo,"Hi Francesca,

As the Digital Lead at Structure Tone London, you understand the importance of innovative technology in construction. I'd like to invite you to visit our booth #42 for a live demo of DroneDeploy's mapping solutions. We have a small gift for you as well.

Looking forward to seeing you there."
Ashley Dawson,Digital Construction Lead,Kier Construction,Builder,Explore Drone Mapping Innovations at Booth #42,"Hi Ashley,

As the Digital Construction Lead at Kier Construction, I believe you’d find our drone mapping solutions valuable. We’d love to invite you to Booth #42 for a live demo and a small gift. Looking forward to seeing you there.

Best,
[Your Name]  
DroneDeploy"
Gareth Jacques,Laing O'Rourke,,Other,Join Us for a Live Demo at Booth #42,"Hi Gareth, 

I hope this message finds you well. We’d love to invite you to visit our booth #42 at the upcoming event for an exclusive live demo of DroneDeploy's capabilities in drone mapping and reality capture. We also have a small gift for you. Looking forward to seeing you there.

Best, 
[Your Name] 
DroneDeploy"
Matt Dawson,"MBE, Ambassador",Former England Rugby World Cup Winner,Other,Experience DroneDeploy at Booth #42,"Hi Matt,

As a former England Rugby World Cup winner and an advocate for innovation, we would love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. We also have a small gift for you to show our appreciation. Looking forward to seeing you there.

Best,
[Your Name]  
[Your Position]  
DroneDeploy"
Mark Beardmore,Director of Project Management,Jacobs,Other,Invitation to See DroneDeploy in Action at Booth #42,"Hi Mark,

As the Director of Project Management at Jacobs, I believe you'd appreciate seeing how DroneDeploy can enhance your project workflows. We’d love to invite you to booth #42 for a live demo and a small gift. Looking forward to the opportunity to connect.

Best,  
[Your Name]  
[Your Position]  
DroneDeploy"
Ashwin Kumar Arunachalam,Senior Consultant - Information Management,Turner & Townsend,Other,Join Us at Booth #42 for a Live Demo,"Hi Ashwin,

I hope this message finds you well. As a Senior Consultant in Information Management at Turner & Townsend, I believe you’ll find our drone mapping solutions valuable. We’d love to invite you to visit us at Booth #42 for a live demo and a small gift. 

Looking forward to seeing you there."
Shaun Farrell,Digital Delivery Excellence Lead,Buro Happold,Other,Invitation to Experience DroneDeploy at Booth #42,"Hi Shaun, 

As the Digital Delivery Excellence Lead at Buro Happold, I believe you would appreciate seeing how our drone mapping and reality capture solutions can enhance project delivery. I would like to invite you to visit us at Booth #42 for a live demo and a small gift. 

Looking forward to your visit, 

[Your Name] 
[Your Position] 
DroneDeploy"
Athina Papakosta,Sustainability & Carbon Lead,Skanska Costain STRABAG JV,Other,Explore Innovative Solutions at Booth #42,"Hi Athina,

I hope this message finds you well. As the Sustainability & Carbon Lead at Skanska Costain STRABAG JV, I believe you would appreciate our latest drone mapping and reality capture solutions. We’d like to invite you to visit our booth #42 for a live demo and a small gift tailored to your interests.

Looking forward to connecting,

[Your Name]
[Your Position]
DroneDeploy"
Gareth Parkes,Head of Data & Analytics,Sir Robert McAlpine,Other,Explore DroneDeploy at Booth #42,"Hi Gareth,

As the Head of Data & Analytics at Sir Robert McAlpine, your insights into data-driven construction are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s solutions and a small gift. Looking forward to connecting!

Best,  
[Your Name]  
[Your Position]  
DroneDeploy"
Matt Hodges-Long,Co-Founder,Track My Risks,Other,Invitation to Visit Us at Booth #42,"Hi Matt, 

I hope this message finds you well. We're excited to invite you to visit our booth #42 for a live demo of DroneDeploy's latest mapping solutions tailored for construction. We’ll also have a small gift for you to take home. Looking forward to the opportunity to connect.

Best, 
[Your Name]"
Shahida Rajabdeen,Regional Director,AtkinsRéalis,Other,Join Us at Booth #42 for a Live Demo,"Hi Shahida, 

I hope this message finds you well. As the Regional Director at AtkinsRéalis, you understand the impact of innovative technology in construction. We’d love for you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy and a small gift. 

Looking forward to connecting, 

[Your Name]  
[Your Job Title]  
DroneDeploy"
Austin Baker,"Product Marketing Manager, XR",Autodesk,Other,Join Us at Booth #42 for a Live Demo,"Hi Austin,

I hope this message finds you well. As the Product Marketing Manager for XR at Autodesk, your insights would be invaluable to us. We’d love for you to visit our booth #42 for a live demo of DroneDeploy's capabilities, along with a small gift as a token of our appreciation.

Looking forward to connecting!

Best,  
[Your Name]  
[Your Position]  
DroneDeploy"
Shilan Shakibapour,Business Developer,Relatics,Owner,Explore DroneDeploy at Booth #42,"Hi Shilan,

I hope this message finds you well. As a Business Developer at Relatics, you understand the importance of innovative tools in construction. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy and to thank you with a small gift for stopping by. 

Looking forward to seeing you there!"
Matt Perkins,Senior Associate Building Surveyor,Ridge and Partners,Builder,Join Us for a Live Demo at Booth #42,"Hi Matt,

As a Senior Associate Building Surveyor at Ridge and Partners, you understand the value of accurate mapping and reality capture in construction. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest features, along with a small gift. It would be great to connect and show you how our solutions can enhance your projects.

Best regards,
[Your Name]
[Your Position]
DroneDeploy"
Shivani Sivarajah,Product & Marketing Operations,The Modern Builder,Builder,Join Us for a Live Demo at Booth #42,"Hi Shivani, 

I hope this message finds you well. As a leader in Product & Marketing Operations at The Modern Builder, we believe you would benefit from seeing how DroneDeploy enhances construction projects through drone mapping and reality capture. We invite you to visit our booth #42 for a live demo and a small gift. 

Looking forward to connecting, 

[Your Name] 
[Your Position] 
DroneDeploy"
Ayushi Chandani,Senior BIM Consultant,Turner and Townsend,Other,Invitation to Visit Us at Booth #42,"Hi Ayushi, 

I hope this message finds you well. As a Senior BIM Consultant at Turner and Townsend, I believe you would find our drone mapping solutions valuable. We would love for you to stop by Booth #42 for a live demo and to receive a small gift. 

Looking forward to seeing you there."
Gary Cowan,Head of Digital Construction,Kane Group,Builder,Invitation to Booth #42 for a Live Demo,"Hi Gary,

As the Head of Digital Construction at Kane Group, we believe you would find our drone mapping solutions valuable. We’d love to invite you to visit our booth #42 for a live demo and a small gift. Looking forward to connecting with you.

Best,  
[Your Name]  
DroneDeploy"
Gary Bell,"Director, Real Estate Digital",Tuner & Townsend,Owner,Invitation to Visit DroneDeploy at Booth #42,"Hi Gary,

As the Director of Real Estate Digital at Turner & Townsend, I believe you’d find our drone mapping solutions particularly relevant. I’d like to invite you to visit us at Booth #42 for a live demo and a small gift. It would be great to connect and show you how our technology can enhance your projects.

Best regards,
[Your Name]  
DroneDeploy"
Shrea Sreekumar,Carbon Coordinator,Skanska Costain STRABAG JV,Other,Join Us at Booth #42 for a Live Demo,"Hi Shrea,

As a Carbon Coordinator at Skanska Costain STRABAG JV, you understand the importance of efficient construction practices. We invite you to visit our booth #42 for a live demo of DroneDeploy's mapping solutions and to receive a small gift. It would be great to connect and show you how our technology can support your sustainability efforts.

Best regards,
[Your Name]  
[Your Position]  
DroneDeploy"
George Bentley,PhD Researcher,University of Bath,Owner,Explore Drone Mapping Innovations at Booth #42,"Hi George,

I hope this message finds you well. As a PhD Researcher at the University of Bath, your insights into cutting-edge technology are invaluable. I’d love to invite you to visit our booth #42 for a live demo of our drone mapping solutions, along with a small gift as a token of appreciation. 

Looking forward to seeing you there."
Matt Sharp,Chief Digital Officer,RLB & RLB Digital,Other,Invitation to Booth #42 for a Live Demo,"Hi Matt, 

I hope this message finds you well. We’d love for you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture. As a token of our appreciation, we have a small gift waiting for you. 

Looking forward to seeing you there, 

Best regards, 
[Your Name] 
[Your Position] 
DroneDeploy"
Az Jasat,"Senior Manager, Industrialised Construction",Autodesk,Builder,Join Us at Booth #42 for a Live Demo,"Hi Az, 

I hope this message finds you well. As a Senior Manager in Industrialised Construction at Autodesk, I believe you’d find our drone mapping solutions valuable. We’d love for you to visit Booth #42 for a live demo and a small gift. 

Looking forward to seeing you there, 

Best, 
[Your Name] 
DroneDeploy"
Matt Wilkie,Asset Surveyor,,Other,"Join Us at Booth #42 for a Live Demo, Matt","Hi Matt,

As an Asset Surveyor, you understand the importance of accurate mapping and data capture. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy and to pick up a small gift. Looking forward to connecting with you!

Best,
[Your Name]  
DroneDeploy Team"
Simon Elliott,CEO,1Breadcrumb,Other,Join Us for a Live Demo at Booth #42,"Hi Simon,  
As the CEO of 1Breadcrumb, your insights into location-based solutions are invaluable. We’d love for you to stop by our booth #42 for a live demo of our drone mapping technology and receive a small gift. Looking forward to the possibility of connecting.  
Best,  
[Your Name]  
DroneDeploy"
Matthew Osment,Founder,Shift Construction,Builder,Join Us at Booth #42 for a Live Demo,"Hi Matthew,

I hope this message finds you well. As the founder of Shift Construction, you understand the importance of innovative technology in our industry. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s capabilities, along with a small gift. 

Looking forward to seeing you there."
Barry Gleeson,"Technical Director BIM – Digital Lead Water, Energy, Earth & Environment",WSP,Owner,Join Us at Booth #42 for a Live Demo,"Hi Barry, 

As the Technical Director BIM at WSP, we believe you’d find our drone mapping solutions invaluable for your projects. We’d love for you to visit us at Booth #42 for a live demo and a small gift. Looking forward to seeing you there.

Best, 
[Your Name] 
DroneDeploy"
George Mokhtar,Director,Turner and Townsend,Other,Invitation to Visit DroneDeploy at Booth #42,"Hi George,

I hope this message finds you well. As the Director at Turner and Townsend, I believe you would find our live demo at Booth #42 particularly insightful for your projects. We’d love to share some of our latest innovations in drone mapping and reality capture, and we have a small gift for you as well.

Looking forward to seeing you there.

Best regards,

[Your Name] 
[Your Position] 
DroneDeploy"
George Smithies,Co-Founder,innDex,Other,Join Us for a Live Demo at Booth #42,"Hi George,

I hope this message finds you well. As Co-Founder of innDex, your insights into technology in construction are invaluable. We’d like to invite you to visit our booth #42 for a live demo of DroneDeploy's latest capabilities and to receive a small gift as a token of our appreciation.

Looking forward to seeing you there."
Matthew Punter,PhD Researcher,University of Bath,Owner,Explore the Future of Drone Mapping at Our Booth,"Hi Matthew,

As a PhD researcher at the University of Bath, you understand the importance of accurate data in construction. We’d love for you to visit our booth #42 for a live demo of DroneDeploy’s latest mapping solutions, along with a small gift as a token of appreciation. 

Looking forward to seeing you there!"
Simon Lewis,Nima Vice Chair,nima,Other,Join Us at Booth #42 for a Live Demo,"Hi Simon,

I hope this message finds you well. As the Vice Chair at Nima, your insights into the industry are invaluable. We’d love for you to visit our booth #42 at the upcoming event for a live demo of our drone mapping solutions, along with a small gift as a token of our appreciation.

Looking forward to seeing you there!

Best,  
[Your Name]  
DroneDeploy Team"
Simon Navin,Head of Geospatial Services,Ordnance Survey,Other,Join Us for a Live Demo at Booth #42,"Hi Simon,

As the Head of Geospatial Services at Ordnance Survey, we think you'll appreciate our innovative drone mapping solutions. We’d love for you to visit us at booth #42 for a live demo and a small gift. It would be great to share insights on how our technologies can enhance your projects.

Best regards,
[Your Name]  
DroneDeploy Team"
George Stevenson,Chair,BIM in Asset Management,Other,Explore DroneDeploy at Booth #42,"Hi George,

As Chair at BIM in Asset Management, your insights into asset management are invaluable. We’d love to invite you to visit our booth #42 for a live demo of our drone mapping solutions, along with a small gift. Looking forward to the possibility of connecting at the event.

Best,
[Your Name]"
Ben Hardie,Digital engineer,Laing O'Rourke,Other,Join Us at Booth #42 for a Live Demo,"Hi Ben,

As a digital engineer at Laing O'Rourke, we believe you’d find our drone mapping solutions valuable. We’d love for you to visit us at Booth #42 for a live demo and to pick up a small gift. 

Looking forward to seeing you there!"
Maurice Van Sante,Senior Construction Economist,ING Bank,Builder,Join Us at Booth #42 for a Live Demo,"Hi Maurice, 

As a Senior Construction Economist at ING Bank, you understand the value of accurate data in your projects. We’d love to invite you to visit us at Booth #42 for a live demo of DroneDeploy’s latest solutions, plus a small gift to take home. Looking forward to connecting with you.

Best, 
[Your Name]"
Ben Huskisson,Chief Digital Officer,Gleeds,Other,Join Us at Booth #42 for a Live Demo,"Hi Ben,

As the Chief Digital Officer at Gleeds, I believe you’d find value in our drone mapping solutions. We’d love to invite you to visit our booth #42 for a live demo, where you can see our technology in action and enjoy a small gift from us.

Looking forward to connecting,
[Your Name]  
DroneDeploy"
Georgia McHugh,Head of Information Management,BW: Worklace Experts,Other,Join Us at Booth #42 for a Live Demo,"Hi Georgia,

As the Head of Information Management at BW: Workplace Experts, we believe you’d find great value in our live drone mapping and reality capture demonstrations. We’d love for you to stop by booth #42 for a firsthand look and a small gift as a token of our appreciation.

Looking forward to seeing you there!"
Ben Jowett,Head of Digital Construction and Engineering,SES Engineering Services (Wates Group),Builder,Invitation to Experience DroneDeploy at Booth #42,"Hi Ben,

As the Head of Digital Construction and Engineering at SES Engineering Services, we believe you’d find value in seeing the latest in drone mapping and reality capture. We’d love for you to visit us at Booth #42 for a live demo and a small gift. Looking forward to connecting!

Best regards,
[Your Name]
DroneDeploy"
May Winfield,"Global Director of Commercial, Legal & Digital Risks",Buro Happold,Other,Join Us for a Live Demo at Booth #42,"Hi May,

As the Global Director of Commercial, Legal & Digital Risks at Buro Happold, your insights into risk management are invaluable. We would love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture, and we have a small gift for you as a token of appreciation.

Looking forward to seeing you there."
Graeme Braybrooke,RIB Candy Regional Lead UK&I,RIB Software,Other,Join Us for a Live Demo at Booth #42,"Hi Graeme, 

As the Regional Lead for RIB Candy, you understand the importance of accurate mapping in construction. We’d love for you to visit our booth #42 for a live demo of DroneDeploy and to pick up a small gift. 

Looking forward to seeing you there."
Becky Ray,CEO,Culture Kick,Other,Join Us at Booth #42 for a Live Demo,"Hi Becky, 

I hope this message finds you well. As the CEO of Culture Kick, I believe you'd appreciate the innovative solutions we offer at DroneDeploy. We invite you to visit our booth #42 for a live demo of our drone mapping technology and to receive a small gift. 

Looking forward to seeing you there.

Best, 
[Your Name]"
Gordon Mitchell,Founder,Wholus,Other,Join Us at Booth #42 for a Live Demo,"Hi Gordon,

I hope this message finds you well. We would love for you to visit our booth #42 at the upcoming event for a live demo of DroneDeploy’s latest capabilities in drone mapping and reality capture. We also have a small gift for you as a token of appreciation for your time.

Looking forward to seeing you there,

Best,
[Your Name] 
[Your Position] 
DroneDeploy"
Megan Hughes,Digital Construction Manager,XD House,Builder,Discover DroneDeploy at Booth #42,"Hi Megan,

As the Digital Construction Manager at XD House, you understand the importance of innovative solutions in construction. We invite you to visit us at Booth #42 for a live demo of our drone mapping technology, designed to enhance project efficiency. We also have a small gift for you as a token of appreciation for your time.

Looking forward to seeing you there."
Bola Abisogun,Founder & CEO,Digital Twin Skills Academy CIC,Other,Experience DroneDeploy at Booth #42,"Hi Bola, 

As the Founder & CEO of Digital Twin Skills Academy, I thought you might find our drone mapping and reality capture solutions intriguing. We’d love to invite you to visit us at Booth #42 for a live demo and a small gift. Looking forward to the opportunity to connect.

Best, 
[Your Name]"
Megha Nagendra Wells,Technical Director,Sweco UK & I,Other,Join Us for a Live Demo at Booth #42,"Hi Megha, 

As the Technical Director at Sweco UK & I, we believe you'd find our live demo at Booth #42 particularly relevant. We’d love to showcase how DroneDeploy enhances construction projects with our mapping solutions. Plus, we have a small gift for you. 

Looking forward to seeing you there."
Graham Bateson,Principal Surveyor,Ramboll,Other,Join Us for a Live Demo at Booth #42,"Hi Graham,

As a Principal Surveyor at Ramboll, you understand the importance of accurate data in construction. We’d love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities, along with a small gift. Looking forward to seeing you there.

Best,  
[Your Name]  
DroneDeploy"
Brahm Lategan,Digital Buildings Consultant,MiX Consultancy,Builder,Join Us at Booth #42 for a Live Demo,"Hi Brahm, 

As a Digital Buildings Consultant at MiX Consultancy, your insights into innovative solutions are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy's capabilities in drone mapping and reality capture, along with a small gift as a token of our appreciation. 

Looking forward to seeing you there."
Michael Awe,PhD Candidate,Bournemouth University,Owner,Explore DroneDeploy at Booth #42,"Hi Michael,

As a PhD candidate at Bournemouth University, your insights into technology and innovation are invaluable. We’d love for you to visit our booth #42 at the upcoming event for a live demo of our drone mapping solutions, along with a small gift. Looking forward to seeing you there.

Best,
[Your Name]  
DroneDeploy"
Michael Heron,"Environmental, Social & Governance Lead",Gilbert Ash,Other,Join Us at Booth #42 for a Live Demo,"Hi Michael,

As the Environmental, Social & Governance Lead at Gilbert Ash, your insights into sustainable practices are invaluable. We’d love for you to visit us at booth #42 for a live demo of our drone mapping solutions, and we have a small gift for you as well. Looking forward to connecting!

Best, 
[Your Name] 
DroneDeploy"
Graham Corder,Director of Development,Steyn Group,Other,Discover DroneDeploy at Booth #42,"Hi Graham,

As the Director of Development at Steyn Group, I believe you’ll find our drone mapping solutions valuable for enhancing project efficiency. I’d like to invite you to visit us at Booth #42 for a live demo and a small gift. I look forward to the opportunity to connect.

Best,
[Your Name]"
Brittany Harris,Co-Founder,Qflow,Other,Discover DroneDeploy at Booth #42,"Hi Brittany, 

As the Co-Founder of Qflow, your insights into the construction tech industry are invaluable. We’d love to invite you to visit us at Booth #42 for a live demo of DroneDeploy's latest features. We also have a small gift for you to take home. 

Looking forward to seeing you there."
Miguel Machado,Associate – BIM Lead,John McAslan & Partners,Other,Invitation to Booth #42 for a Live Demo,"Hi Miguel,

As the BIM Lead at John McAslan & Partners, we believe you'd find our drone mapping solutions particularly relevant. We’d love for you to visit our booth #42 for a live demo and a small gift. Looking forward to the opportunity to connect.

Best,
[Your Name]
DroneDeploy"
Michael Ren,Marketing Manager,CSC Robotic Engineering,Builder,Let's connect at DCW,"```json
{
  ""subject"": ""Join Us at Booth #42 for a Live Demo"",
  ""body"": ""Hi Michael,\n\nI hope this message finds you well. As a Marketing Manager at CSC Robotic Engineering, I believe you would find our drone mapping solutions particularly relevant. We’d love for you to visit Booth #42 for a live demo and to pick up a small gift as a token of appreciation for your time.\n\nLooking forward to seeing you!"",
}
```"
Hadeel Saadoon,Principal Consultant & Digital Health & Education Sector Lead – Real Estate,Turner & Townsend,Owner,Join Us for a Live Demo at Booth #42,"Hi Hadeel,

I hope this message finds you well. As the Principal Consultant at Turner & Townsend, your insights into the digital transformation in real estate are invaluable. We invite you to visit our booth #42 for a live demo of our drone mapping solutions, along with a small gift as a token of our appreciation.

Looking forward to seeing you there."
Cameron McDonald,Head of Geospatial,Knight Frank,Other,Join Us for a Live Demo at Booth #42,"Hi Cameron,

As the Head of Geospatial at Knight Frank, your insights into the industry are invaluable. We’d love to invite you to visit our booth #42 for a live demo of our latest drone mapping solutions tailored for construction. We also have a small gift for you as a token of appreciation.

Looking forward to seeing you there."
Harry Parnell,Head of Digital Delivery,Balfour Beatty,Other,Join Us for a Live Demo at Booth #42,"Hi Harry,

As the Head of Digital Delivery at Balfour Beatty, you understand the importance of innovative tools in construction. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest features. We’ll have a small gift for you as well. 

Looking forward to seeing you there."
Bruno Mota,Associate Director,Assystem,Other,Join Us for a Live Demo at Booth #42,"Hi Bruno,

As an Associate Director at Assystem, your insights into construction innovation are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest features, along with a small gift as a token of our appreciation.

Looking forward to seeing you there.

Best regards,

[Your Name]
[Your Position]
DroneDeploy"
Mike Ford,Digital Engineering Senior Associate,Ridge and Partners,Builder,Invitation to Experience DroneDeploy at Booth #42,"Hi Mike,

As a Digital Engineering Senior Associate at Ridge and Partners, we believe you would appreciate seeing the latest in drone mapping and reality capture. We invite you to visit our booth #42 for a live demo and a small gift. Looking forward to your insights on how our solutions can enhance your projects.

Best, 
[Your Name] 
DroneDeploy Team"
